day	name	model
1	AURA	Claude Opus 4.8
2	Ræv	Claude Opus 4.8
3	Agent-01	Claude Opus 4.8
4	Nova	Claude Opus 4.8
5	Comet	Claude Opus 4.8
6	Boo	Claude Opus 4.8
7	Neko	Claude Opus 4.8
8	Tsuru	Claude Opus 4.8
9	Bit	Claude Opus 4.8
10	Lumen	Claude Opus 4.8
11	Ugla	Claude Opus 4.8
12	Chrome	Claude Opus 4.8
13	Ember	Claude Opus 4.8
14	Koi	Claude Opus 4.8
15	Golem	Claude Sonnet 5
16	Sprout	Claude Sonnet 5
17	Draco	Claude Opus 4.8
18	Aster	Claude Sonnet 5
19	Lundi	Claude Opus 4.8
20	Mochi	Claude Sonnet 5
21	Volt	Claude Opus 4.8
22	Prism	Claude Sonnet 5
23	Nimbus	Claude Opus 4.8
24	Ravn	Claude Sonnet 5
25	Cog	Claude Opus 4.8
26	Frost	Claude Opus 4.8
27	Beacon	Claude Sonnet 5
28	Sol	Claude Opus 4.8
29	Luna	Claude Sonnet 5
30	Bi	Claude Opus 4.8
31	Vega	Claude Sonnet 5
